iter	RMSE
0	27733.16691
1	24717.79039
2	22469.5782
3	20621.46948
4	19316.31658
5	18327.37945
6	17503.20178
7	16869.31011
8	16350.47812
9	15973.9268
10	15617.08255
11	15289.42825
12	15030.29349
13	14805.36806
14	14599.44873
15	14399.80601
16	14204.66385
17	14021.86525
18	13897.21823
19	13785.46328
20	13689.6412
21	13560.25127
22	13422.75642
23	13312.61711
24	13232.3208
25	13139.46361
26	13023.29177
27	12969.4622
28	12878.34487
29	12807.36765
30	12775.93696
31	12704.252
32	12619.18649
33	12561.99859
34	12510.75679
35	12447.19421
36	12411.34375
37	12371.00359
38	12323.9563
39	12260.60363
40	12220.9212
41	12181.56854
42	12132.69335
43	12090.6919
44	12047.07446
45	12015.60893
46	11994.14714
47	11965.44467
48	11921.64272
49	11845.69059
50	11796.34395
51	11753.09156
52	11700.76253
53	11667.52208
54	11635.33165
55	11604.13267
56	11573.0204
57	11547.22558
58	11527.17887
59	11505.7136
60	11478.14231
61	11449.13272
62	11434.80777
63	11383.75121
64	11333.24634
65	11300.19877
66	11281.17338
67	11251.53098
68	11210.31943
69	11196.0165
70	11181.6145
71	11141.9227
72	11125.67005
73	11111.06609
74	11076.55111
75	11045.94667
76	11000.24448
77	10981.36962
78	10963.74574
79	10939.50727
80	10913.0846
81	10891.94059
82	10863.0755
83	10832.88816
84	10808.54298
85	10792.4669
86	10758.15282
87	10736.35029
88	10721.967
89	10704.18171
90	10682.29052
91	10666.49642
92	10638.91053
93	10618.64734
94	10605.18013
95	10578.87742
96	10562.21439
97	10547.89266
98	10532.043
99	10516.37237
100	10503.77002
101	10484.27034
102	10473.44582
103	10461.0422
104	10442.31864
105	10420.39312
106	10407.17395
107	10386.70039
108	10367.94859
109	10350.97224
110	10339.31681
111	10321.22837
112	10302.61203
113	10293.1979
114	10271.8907
115	10251.43861
116	10244.63646
117	10224.31142
118	10210.72552
119	10202.2487
120	10191.18475
121	10185.16358
122	10175.83199
123	10161.14314
124	10149.88769
125	10128.78093
126	10105.05909
127	10087.02081
128	10069.68585
129	10057.91814
130	10042.05776
131	10036.00872
132	10025.69479
133	10017.16459
134	10004.97615
135	9994.464419
136	9976.812393
137	9963.38153
138	9956.043932
139	9946.060691
140	9932.630219
141	9909.68805
142	9893.637358
143	9882.926629
144	9869.072157
145	9856.008673
146	9845.141999
147	9834.095892
148	9824.109506
149	9817.194425
150	9806.876433
151	9791.766723
152	9779.996819
153	9751.856491
154	9743.940862
155	9735.70905
156	9721.631286
157	9705.099756
158	9695.744497
159	9675.096411
160	9658.278889
161	9646.786193
162	9633.531115
163	9625.341858
164	9611.628271
165	9604.508131
166	9594.758424
167	9588.453989
168	9579.860792
169	9570.729196
170	9558.661899
171	9548.946739
172	9543.804426
173	9531.580427
174	9522.050048
175	9514.582791
176	9508.44041
177	9498.428755
178	9490.279019
179	9480.30662
180	9468.045263
181	9455.267688
182	9446.308031
183	9437.779748
184	9428.044403
185	9424.354712
186	9416.854919
187	9406.684176
188	9401.160469
189	9387.263
190	9382.945867
191	9367.816333
192	9360.560509
