iter	Passed	Remaining
0	135	678247
1	200	499962
2	259	432559
3	324	405873
4	393	392718
5	477	397319
6	564	402412
7	630	393373
8	698	387469
9	771	385021
10	833	378068
11	905	376372
12	972	373056
13	1037	369381
14	1097	364678
15	1169	364314
16	1241	363854
17	1300	359878
18	1361	356880
19	1430	356195
20	1496	354730
21	1561	353342
22	1620	350766
23	1697	351976
24	1759	350157
25	1821	348480
26	1884	347027
27	1951	346512
28	2019	346237
29	2076	343964
30	2134	342098
31	2199	341423
32	2267	341244
33	2328	340115
34	2386	338551
35	2461	339353
36	2518	337787
37	2585	337670
38	2642	336124
39	2707	335789
40	2769	335032
41	2833	334501
42	2891	333333
43	2952	332599
44	3015	332043
45	3074	331086
46	3137	330660
47	3205	330654
48	3286	332079
49	3349	331646
50	3413	331267
51	3496	332722
52	3573	333565
53	3657	334961
54	3737	336068
55	3811	336517
56	3886	337060
57	3966	338013
58	4030	337531
59	4087	336506
60	4152	336223
61	4219	336055
62	4276	335147
63	4338	334572
64	4408	334700
65	4472	334389
66	4547	334812
67	4623	335319
68	4688	335056
69	4748	334412
70	4807	333748
71	4874	333646
72	4940	333428
73	5000	332853
74	5059	332235
75	5122	331864
76	5199	332420
77	5261	332013
78	5317	331240
79	5386	331248
80	5460	331577
81	5525	331370
82	5587	330985
83	5649	330623
84	5715	330470
85	5775	329985
86	5836	329609
87	5904	329552
88	5972	329563
89	6026	328800
90	6088	328454
91	6157	328491
92	6220	328204
93	6283	327954
94	6339	327322
95	6402	327069
96	6479	327497
97	6539	327113
98	6603	326906
99	6666	326659
100	6728	326360
101	6792	326158
102	6856	325994
103	6927	326129
104	6988	325800
105	7051	325562
106	7106	324957
107	7176	325052
108	7250	325358
109	7312	325081
110	7372	324739
111	7437	324609
112	7510	324798
113	7568	324400
114	7626	323958
115	7696	324047
116	7757	323763
117	7819	323530
118	7876	323063
119	7945	323128
120	8021	323427
121	8077	322974
122	8140	322768
123	8216	323098
124	8285	323133
125	8354	323186
126	8427	323379
127	8508	323872
128	8576	323859
129	8640	323690
130	8742	324926
131	8822	325349
132	8902	325781
133	8985	326293
134	9067	326783
135	9151	327296
136	9238	327931
137	9320	328376
138	9409	329056
139	9509	330118
140	9590	330508
141	9672	330895
142	9752	331244
143	9813	330936
144	9874	330611
145	9953	330908
146	10031	331181
147	10094	330945
148	10183	331534
149	10265	331921
150	10344	332189
151	10430	332691
152	10492	332400
153	10559	332270
154	10634	332414
155	10702	332317
156	10768	332164
157	10847	332420
158	10913	332267
159	10984	332295
160	11059	332395
161	11132	332467
162	11200	332387
163	11272	332407
164	11342	332362
165	11411	332293
166	11485	332404
167	11557	332427
168	11619	332143
169	11683	331937
170	11748	331784
171	11805	331388
172	11871	331221
173	11944	331292
174	12001	330902
175	12066	330727
176	12136	330690
177	12208	330728
178	12299	331268
179	12373	331344
180	12455	331609
181	12531	331739
182	12615	332072
183	12694	332263
184	12767	332312
185	12838	332294
186	12923	332634
187	12992	332540
188	13083	333028
189	13170	333412
190	13251	333643
191	13333	333902
192	13405	333876
193	13486	334115
194	13581	334652
195	13665	334954
196	13745	335136
197	13828	335366
198	13904	335451
199	13976	335431
200	14040	335215
201	14111	335186
202	14179	335059
203	14236	334698
204	14314	334813
205	14385	334773
206	14472	335093
207	14546	335131
208	14615	335031
