iter	RMSE
0	33899.21064
1	30382.76332
2	27615.41066
3	25551.38664
4	23945.52526
5	22613.98873
6	21505.65059
7	20575.63239
8	19886.52733
9	19300.27123
10	18874.2964
11	18433.21585
12	18166.08345
13	17870.28229
14	17546.19384
15	17282.04522
16	17091.52481
17	16885.68945
18	16713.39056
19	16589.57656
20	16433.18854
21	16234.04742
22	16145.78009
23	15963.23492
24	15825.57481
25	15695.61058
26	15557.64877
27	15477.22368
28	15425.30437
29	15335.06657
30	15215.03398
31	15140.21704
32	15049.55269
33	14988.61232
34	14927.02158
35	14864.47612
36	14791.8342
37	14766.60958
38	14694.67297
39	14636.12965
40	14594.52727
41	14575.29009
42	14530.91181
43	14491.48552
44	14428.06309
45	14384.4501
46	14311.68549
47	14254.13034
48	14228.71531
49	14193.00838
50	14147.48312
51	14120.53619
52	14096.61403
53	14012.70345
54	13985.29721
55	13958.26899
56	13902.06026
57	13881.74404
58	13853.49514
59	13794.4986
60	13765.38971
61	13711.16537
62	13672.86301
63	13614.48635
64	13580.36152
65	13553.17948
66	13483.65125
67	13444.81527
68	13395.44853
69	13353.84719
70	13332.23792
71	13305.31008
72	13255.76716
73	13236.75014
74	13215.67295
75	13194.53412
76	13168.93797
77	13150.37332
78	13120.51792
79	13097.14317
80	13078.10635
81	13063.88865
82	13041.78773
83	13015.94071
84	12998.45415
85	12972.62155
86	12949.50595
87	12927.95487
88	12910.89433
89	12884.42818
90	12847.17998
91	12823.57055
92	12812.78722
93	12791.59411
94	12773.08282
95	12732.95001
96	12710.78509
97	12688.78157
98	12667.23208
99	12648.37248
100	12616.29765
101	12601.98647
102	12584.84578
103	12560.03625
104	12528.16478
105	12504.37346
106	12481.99653
107	12459.70744
108	12437.0726
109	12424.73986
110	12400.92933
111	12361.7659
112	12342.90505
113	12326.52503
114	12315.24579
115	12306.19879
116	12295.27531
117	12277.49561
118	12263.80379
119	12250.24808
120	12240.76631
121	12228.8307
122	12210.56548
123	12196.71196
124	12181.93041
125	12159.40084
126	12146.36454
127	12129.33518
128	12120.87932
129	12102.00184
130	12087.48289
131	12075.79173
132	12062.70564
133	12052.00805
134	12041.68993
135	12029.51909
136	12017.05579
137	12006.19998
138	11975.02986
139	11961.58835
140	11943.40584
141	11936.70492
142	11918.71986
143	11907.63172
144	11898.0263
145	11884.18331
146	11870.46119
147	11858.50078
148	11852.58549
149	11838.26245
150	11825.4146
151	11816.15654
152	11802.71622
153	11790.39595
154	11780.25109
155	11767.69909
156	11746.751
157	11735.44443
158	11718.62802
159	11707.79826
160	11701.00086
161	11669.44285
162	11652.60545
163	11633.14052
164	11624.35162
165	11617.54772
166	11611.77813
167	11600.36336
168	11592.7013
169	11580.36043
170	11574.23201
171	11560.17271
172	11552.81042
173	11540.46682
174	11531.48328
175	11519.46565
176	11509.36622
177	11504.59954
178	11492.51172
179	11469.42538
180	11457.9033
181	11447.72742
182	11435.69639
183	11428.83112
184	11421.31645
185	11408.03731
186	11398.76885
187	11385.44076
188	11379.6192
189	11368.05719
190	11359.91103
191	11340.50935
192	11321.18781
193	11307.65553
194	11294.83168
195	11276.89633
196	11266.91206
197	11258.95195
198	11247.76914
199	11236.24725
200	11225.56516
201	11217.50348
202	11209.39765
203	11194.66447
204	11183.05683
205	11172.9844
206	11164.96426
207	11153.95211
208	11145.26021
209	11135.13192
210	11127.21261
211	11115.3368
212	11103.70651
213	11095.67303
214	11086.77244
215	11073.87711
216	11059.48002
217	11051.78469
218	11042.94853
219	11031.14658
220	11024.39273
221	11016.78559
222	11007.94746
223	11000.32665
224	10992.62512
225	10987.52972
226	10979.89613
227	10971.96512
228	10965.66431
229	10959.26176
230	10954.54098
231	10950.4306
232	10938.42688
233	10932.60265
234	10921.96172
235	10911.49771
236	10903.30732
237	10893.64198
238	10885.46783
239	10879.98026
240	10875.34555
241	10867.48992
242	10860.61215
243	10851.95755
244	10843.89452
245	10837.04675
246	10826.55869
247	10818.46945
248	10809.42085
249	10801.29236
250	10793.93114
251	10787.40006
252	10782.15799
253	10770.16891
254	10759.45631
255	10753.04857
256	10743.72995
257	10737.93354
258	10732.22479
259	10723.5847
260	10719.64965
261	10715.48416
262	10709.54603
263	10702.26633
264	10696.70649
265	10687.3046
266	10680.43851
267	10673.86781
268	10660.0352
269	10651.18473
270	10643.10697
271	10635.92576
272	10630.47841
273	10621.95761
274	10611.47743
275	10604.26751
276	10596.68006
277	10585.61793
278	10574.7745
279	10570.90026
280	10566.54972
281	10559.63463
282	10551.32619
283	10545.54283
284	10538.13832
285	10533.27421
286	10528.91335
287	10522.47109
288	10512.26388
289	10509.46249
290	10501.34085
291	10490.24358
292	10479.85406
293	10474.31551
294	10465.0639
295	10458.62669
296	10453.96212
297	10449.06166
298	10441.99622
299	10439.03151
300	10428.99244
301	10424.1491
302	10417.93409
303	10409.97496
304	10404.12334
305	10397.66682
306	10394.11525
307	10390.90202
308	10385.87439
309	10376.86321
310	10372.59616
311	10363.59406
312	10360.53812
313	10353.41553
314	10348.67388
315	10341.93658
316	10332.40373
317	10326.37458
318	10320.13506
319	10314.12029
320	10307.3535
321	10304.84464
322	10295.51861
323	10284.48285
324	10278.51278
325	10271.42738
326	10262.14807
327	10256.44087
328	10245.41396
329	10241.15245
330	10237.47834
331	10231.75748
332	10225.77539
333	10222.67258
334	10218.00906
335	10204.5965
336	10198.2309
337	10191.91192
338	10189.70367
339	10184.39923
340	10174.29785
341	10165.488
342	10161.27664
343	10157.19545
344	10151.23671
345	10145.6034
346	10135.01759
347	10127.58271
348	10125.05812
349	10116.10571
350	10111.36902
351	10107.00106
352	10101.03129
