iter	Passed	Remaining
0	133	668422
1	198	496998
2	266	443395
3	329	411125
4	387	386628
5	439	366130
6	489	349116
7	533	333081
8	581	322320
9	633	316252
10	688	312364
11	731	304095
12	773	296619
13	817	291147
14	870	289431
15	928	289347
16	988	289889
17	1039	287741
18	1084	284413
19	1139	283832
20	1198	284177
21	1246	281997
22	1295	280419
23	1348	279557
24	1403	279354
25	1460	279389
26	1517	279482
27	1586	281705
28	1646	282206
29	1688	279742
30	1739	278766
31	1799	279363
32	1848	278214
33	1894	276748
34	1941	275425
35	1993	274863
36	2049	274961
37	2093	273360
38	2148	273240
39	2215	274727
40	2274	275102
41	2322	274179
42	2378	274167
43	2438	274707
44	2495	274773
45	2549	274572
46	2605	274588
47	2658	274232
48	2703	273163
49	2745	271847
50	2787	270466
51	2830	269377
52	2872	268153
53	2918	267282
54	2959	266041
55	3002	265058
56	3047	264243
57	3089	263254
58	3131	262282
59	3174	261390
60	3225	261153
61	3287	261829
62	3337	261546
63	3390	261526
64	3435	260837
65	3478	260048
66	3524	259492
67	3567	258715
68	3610	257985
69	3654	257360
70	3705	257249
71	3754	256983
72	3808	257062
73	3856	256687
74	3904	256397
75	3949	255905
76	3994	255372
77	4043	255156
78	4090	254813
79	4138	254523
80	4193	254687
81	4246	254673
82	4293	254330
83	4335	253716
84	4376	253082
85	4421	252660
86	4476	252821
87	4527	252700
88	4572	252293
89	4624	252303
90	4677	252321
91	4731	252415
92	4781	252295
93	4829	252080
94	4885	252262
95	4935	252141
96	4984	251934
97	5035	251873
98	5087	251837
99	5133	251556
100	5185	251502
101	5235	251405
102	5286	251346
103	5344	251595
104	5403	251911
105	5450	251665
106	5494	251265
107	5539	250897
108	5586	250658
109	5636	250568
110	5681	250257
111	5725	249862
112	5769	249501
113	5809	249009
114	5856	248771
115	5908	248788
116	5955	248533
117	5998	248176
118	6042	247823
119	6091	247731
120	6135	247394
121	6178	247036
122	6225	246855
123	6274	246722
124	6318	246403
125	6366	246273
126	6417	246229
127	6464	246045
128	6506	245677
129	6548	245333
130	6593	245060
131	6636	244735
132	6677	244348
133	6721	244090
134	6763	243728
135	6804	243359
136	6849	243142
137	6888	242702
138	6939	242670
139	6986	242530
140	7036	242469
141	7080	242234
142	7126	242035
143	7169	241778
144	7213	241514
145	7258	241312
146	7301	241063
147	7347	240885
148	7393	240722
149	7436	240442
150	7491	240571
151	7539	240455
152	7583	240242
153	7629	240070
154	7670	239757
155	7712	239488
156	7758	239327
157	7801	239078
158	7847	238916
159	7888	238636
160	7934	238481
161	7984	238447
162	8030	238293
163	8071	238023
164	8115	237803
165	8158	237569
166	8203	237397
167	8245	237157
168	8287	236895
169	8334	236806
170	8381	236702
171	8433	236721
172	8483	236707
173	8540	236873
174	8587	236763
175	8635	236677
176	8684	236652
177	8732	236553
178	8779	236461
179	8829	236443
180	8879	236399
181	8927	236339
182	8970	236128
183	9014	235934
184	9061	235837
185	9110	235787
186	9162	235822
187	9210	235752
188	9249	235448
189	9296	235340
190	9341	235203
191	9391	235168
192	9439	235097
193	9488	235060
194	9541	235116
195	9593	235142
196	9641	235062
197	9694	235122
198	9749	235202
199	9801	235228
200	9853	235268
201	9901	235190
202	9948	235079
203	9995	234997
204	10042	234889
205	10093	234898
206	10143	234869
207	10195	234885
208	10245	234866
209	10294	234814
210	10345	234819
211	10396	234793
212	10451	234883
213	10500	234845
214	10545	234704
215	10593	234633
216	10646	234659
217	10703	234799
218	10757	234837
219	10804	234749
220	10848	234586
221	10893	234445
222	10933	234216
223	10973	233960
224	11019	233856
225	11061	233656
226	11105	233510
227	11154	233464
228	11195	233239
229	11236	233044
230	11279	232867
231	11326	232787
232	11371	232648
233	11414	232476
234	11456	232297
235	11502	232197
236	11551	232155
237	11596	232023
238	11647	232021
239	11699	232038
240	11743	231906
241	11794	231886
242	11839	231779
243	11885	231678
244	11930	231551
245	11975	231420
246	12017	231253
247	12061	231123
248	12104	230965
249	12148	230820
250	12197	230788
251	12245	230716
252	12290	230612
253	12334	230477
254	12387	230504
255	12443	230601
256	12491	230531
257	12538	230457
258	12580	230291
259	12632	230294
260	12676	230166
261	12722	230076
262	12766	229936
263	12812	229853
264	12854	229679
265	12903	229636
266	12945	229481
267	12986	229297
268	13029	229156
269	13078	229116
270	13125	229033
271	13168	228905
272	13210	228738
273	13264	228790
274	13319	228852
275	13365	228758
276	13408	228618
277	13449	228452
278	13497	228400
279	13545	228330
280	13588	228198
281	13633	228092
282	13676	227960
283	13718	227811
284	13771	227838
285	13826	227889
286	13866	227710
287	13908	227562
288	13950	227410
289	13993	227280
290	14035	227121
291	14079	227000
292	14122	226867
293	14163	226719
294	14203	226534
295	14244	226367
296	14297	226401
297	14350	226422
298	14399	226399
299	14440	226229
300	14489	226204
301	14537	226150
302	14577	225976
303	14620	225855
304	14664	225734
305	14704	225560
306	14744	225398
307	14794	225371
308	14848	225419
309	14897	225381
310	14944	225326
311	14985	225167
312	15029	225052
313	15072	224942
314	15113	224778
315	15155	224648
316	15202	224580
317	15246	224473
318	15294	224435
319	15344	224407
320	15391	224354
321	15435	224249
322	15478	224127
323	15521	224012
324	15569	223962
325	15613	223851
326	15654	223705
327	15693	223541
328	15741	223495
329	15786	223401
330	15832	223326
331	15877	223234
332	15925	223195
333	15969	223095
334	16009	222943
335	16056	222880
336	16100	222783
337	16146	222713
338	16186	222553
339	16227	222415
340	16280	222441
341	16321	222295
342	16366	222215
343	16414	222166
344	16465	222170
345	16520	222211
346	16562	222094
347	16609	222029
348	16651	221907
349	16693	221779
350	16734	221653
351	16784	221625
352	16825	221495
353	16869	221402
354	16911	221279
355	16963	221281
356	17005	221171
357	17045	221024
358	17093	220980
359	17138	220901
360	17185	220844
361	17230	220761
362	17280	220741
363	17324	220643
364	17371	220599
365	17422	220584
366	17474	220593
367	17518	220502
368	17564	220433
369	17609	220355
370	17655	220294
371	17699	220199
372	17742	220088
373	17785	219989
374	17829	219893
375	17874	219820
376	17918	219733
377	17965	219675
378	18012	219614
379	18055	219519
380	18104	219486
381	18142	219327
382	18184	219215
383	18231	219157
384	18276	219077
385	18325	219049
386	18370	218969
387	18410	218832
388	18450	218699
389	18493	218608
390	18541	218566
391	18586	218486
392	18627	218362
393	18669	218252
394	18712	218158
395	18764	218164
396	18807	218059
397	18852	217985
398	18893	217867
399	18933	217736
400	18978	217658
401	19025	217608
402	19072	217556
403	19114	217456
404	19157	217353
405	19203	217293
406	19248	217216
407	19297	217195
408	19343	217125
409	19386	217031
410	19432	216969
411	19474	216861
412	19514	216735
413	19562	216697
414	19609	216647
415	19661	216652
416	19715	216678
417	19766	216670
418	19807	216561
419	19848	216444
420	19894	216376
421	19933	216245
422	19974	216126
423	20019	216054
424	20061	215954
425	20113	215963
426	20161	215925
427	20204	215834
428	20253	215802
429	20302	215773
430	20347	215700
431	20394	215651
432	20437	215560
433	20478	215446
434	20519	215334
435	20561	215235
436	20608	215191
437	20658	215170
438	20700	215069
439	20748	215029
440	20795	214984
441	20836	214871
442	20882	214815
443	20928	214756
444	20969	214643
445	21013	214559
446	21059	214500
447	21101	214402
448	21148	214359
449	21188	214240
450	21238	214218
451	21284	214160
452	21324	214045
453	21367	213957
454	21411	213880
455	21455	213802
456	21504	213774
457	21550	213719
458	21593	213630
459	21639	213571
460	21690	213568
461	21734	213491
462	21777	213402
463	21819	213308
464	21859	213190
465	21904	213118
466	21945	213014
467	21984	212893
468	22030	212832
469	22076	212778
470	22121	212711
471	22166	212649
472	22218	212644
473	22261	212563
474	22306	212501
475	22353	212451
476	22398	212385
477	22440	212293
478	22482	212197
479	22526	212121
480	22571	212058
481	22612	211954
482	22658	211905
483	22701	211816
484	22750	211792
485	22795	211727
486	22839	211655
487	22885	211593
488	22925	211482
489	22972	211437
490	23019	211397
491	23067	211356
492	23110	211273
493	23158	211243
494	23200	211148
495	23252	211150
496	23301	211122
497	23347	211063
498	23391	210991
499	23439	210956
500	23490	210941
501	23533	210864
502	23576	210784
503	23618	210694
504	23662	210615
505	23703	210520
506	23751	210480
507	23801	210461
508	23845	210390
509	23887	210300
510	23933	210245
511	23975	210156
512	24016	210064
513	24061	209996
514	24107	209944
515	24150	209864
516	24193	209785
517	24240	209741
518	24297	209781
519	24348	209767
520	24395	209724
521	24438	209648
522	24479	209550
523	24525	209492
524	24568	209419
525	24617	209386
526	24661	209320
527	24703	209233
528	24749	209179
529	24794	209111
530	24847	209120
531	24891	209051
532	24929	208932
533	24969	208824
534	25012	208748
535	25058	208696
536	25099	208600
537	25143	208536
538	25193	208508
539	25240	208465
540	25292	208465
541	25342	208444
542	25395	208447
543	25437	208363
544	25478	208272
545	25527	208238
546	25567	208137
547	25608	208047
548	25653	207985
549	25701	207949
550	25750	207922
551	25797	207874
552	25837	207771
553	25883	207719
554	25928	207660
555	25972	207596
556	26017	207531
557	26057	207431
558	26100	207356
559	26143	207284
560	26186	207204
561	26232	207151
562	26280	207120
563	26321	207023
564	26362	206936
565	26414	206926
566	26462	206893
567	26509	206845
568	26551	206766
569	26595	206699
570	26639	206632
571	26685	206578
572	26728	206502
573	26772	206439
574	26814	206358
575	26864	206336
576	26906	206254
577	26958	206246
578	27004	206197
579	27045	206108
580	27091	206051
581	27133	205968
582	27175	205888
583	27220	205834
584	27266	205779
585	27316	205760
586	27362	205711
587	27407	205651
588	27452	205591
589	27501	205560
590	27557	205588
591	27612	205603
592	27667	205615
593	27726	205661
594	27780	205668
595	27830	205643
596	27882	205642
597	27939	205665
598	27993	205676
599	28047	205679
600	28095	205643
601	28145	205623
602	28202	205647
603	28258	205667
604	28308	205648
605	28356	205607
606	28406	205585
607	28457	205571
608	28519	205629
609	28577	205667
610	28633	205685
611	28687	205684
612	28746	205729
613	28803	205755
614	28858	205765
615	28902	205692
616	28944	205616
617	28992	205572
618	29039	205528
619	29088	205499
620	29132	205431
621	29178	205372
622	29222	205308
623	29263	205222
624	29312	205188
625	29354	205104
626	29399	205043
627	29439	204948
628	29483	204883
629	29527	204818
630	29580	204811
631	29630	204789
632	29680	204761
633	29728	204724
634	29777	204692
635	29819	204609
636	29861	204526
637	29904	204453
638	29953	204421
639	29993	204328
640	30036	204254
641	30077	204168
642	30126	204136
643	30173	204095
644	30218	204031
645	30265	203987
646	30306	203899
647	30350	203838
648	30399	203801
649	30446	203754
650	30489	203687
651	30530	203599
652	30570	203509
653	30622	203496
654	30670	203455
655	30717	203409
656	30759	203332
657	30809	203302
658	30853	203238
659	30892	203144
660	30935	203069
661	30979	203001
662	31020	202920
663	31064	202856
664	31106	202777
665	31154	202735
666	31202	202699
667	31256	202701
668	31311	202706
669	31367	202716
670	31416	202683
671	31469	202677
672	31515	202623
673	31558	202557
674	31600	202480
675	31647	202432
676	31700	202425
677	31752	202409
678	31794	202330
679	31837	202258
680	31881	202194
681	31922	202110
682	31967	202055
683	32007	201965
684	32051	201897
685	32090	201803
686	32130	201713
687	32176	201666
688	32232	201675
689	32277	201618
690	32319	201542
691	32358	201446
692	32404	201393
693	32446	201318
694	32489	201247
695	32536	201201
696	32580	201139
697	32627	201091
698	32675	201053
699	32726	201035
700	32772	200982
701	32817	200927
702	32863	200872
703	32903	200788
704	32946	200714
705	32987	200632
706	33027	200549
707	33067	200460
708	33107	200374
709	33148	200288
710	33193	200236
711	33241	200198
712	33294	200187
713	33342	200149
714	33386	200086
715	33431	200028
716	33477	199979
717	33527	199950
718	33567	199861
719	33608	199781
720	33651	199714
721	33694	199648
722	33744	199620
723	33797	199610
724	33844	199565
725	33889	199508
726	33931	199436
727	33978	199389
728	34022	199330
729	34067	199274
730	34113	199218
731	34157	199157
732	34202	199103
733	34245	199034
734	34301	199044
735	34357	199051
736	34407	199019
737	34452	198967
738	34496	198905
739	34544	198861
740	34591	198821
741	34636	198762
742	34682	198709
743	34723	198632
744	34764	198555
745	34806	198478
746	34856	198455
747	34898	198381
748	34940	198306
749	34985	198253
750	35033	198211
751	35075	198139
752	35118	198070
753	35165	198025
754	35210	197973
755	35252	197899
756	35297	197843
757	35343	197791
758	35393	197762
759	35438	197710
760	35482	197646
761	35530	197606
762	35573	197545
763	35619	197494
764	35663	197431
765	35709	197381
766	35757	197344
767	35803	197290
768	35841	197198
769	35888	197154
770	35936	197112
771	35980	197054
772	36021	196978
773	36065	196917
774	36111	196868
775	36160	196832
776	36210	196802
777	36257	196758
778	36305	196721
779	36347	196647
780	36387	196567
781	36441	196562
782	36488	196518
783	36534	196463
784	36579	196410
785	36624	196357
786	36669	196298
787	36714	196245
788	36755	196167
789	36802	196125
790	36840	196033
791	36887	195990
792	36937	195959
793	36988	195936
794	37035	195894
795	37078	195826
796	37121	195763
797	37165	195701
798	37214	195667
799	37257	195599
800	37297	195519
801	37347	195489
802	37390	195426
803	37431	195350
804	37483	195334
805	37528	195279
806	37575	195236
807	37622	195191
808	37670	195151
809	37710	195070
810	37749	194987
811	37794	194932
812	37837	194867
813	37882	194811
814	37930	194771
815	37969	194686
816	38018	194650
817	38058	194575
818	38102	194512
819	38145	194448
820	38188	194382
821	38233	194332
822	38283	194299
823	38326	194238
824	38372	194188
825	38417	194132
826	38465	194097
827	38519	194084
828	38564	194032
829	38615	194009
830	38662	193961
831	38707	193907
832	38751	193849
833	38795	193790
834	38838	193725
835	38887	193692
836	38929	193625
837	38970	193551
838	39007	193458
839	39053	193406
840	39095	193337
841	39142	193295
842	39189	193252
843	39234	193196
844	39277	193134
845	39321	193076
846	39368	193028
847	39408	192954
848	39452	192896
849	39495	192832
850	39547	192810
851	39601	192799
852	39651	192771
853	39693	192706
854	39741	192663
855	39785	192608
856	39834	192570
857	39882	192533
858	39921	192450
859	39967	192401
860	40007	192322
861	40055	192285
862	40100	192231
863	40151	192206
864	40194	192142
865	40238	192087
866	40281	192023
867	40328	191976
868	40368	191901
869	40412	191844
870	40452	191763
871	40497	191715
872	40541	191657
873	40581	191576
874	40633	191559
875	40678	191505
876	40724	191457
877	40763	191373
878	40806	191312
879	40850	191254
880	40891	191182
881	40933	191114
882	40976	191051
883	41017	190984
884	41057	190906
885	41103	190855
886	41150	190813
887	41197	190771
888	41248	190744
889	41293	190691
890	41336	190628
891	41385	190593
892	41434	190559
893	41480	190513
894	41521	190440
895	41564	190379
896	41612	190341
897	41659	190296
898	41708	190262
899	41756	190224
900	41796	190148
901	41841	190095
902	41889	190055
903	41931	189988
904	41974	189929
905	42016	189863
906	42063	189818
907	42110	189774
908	42155	189723
909	42206	189697
910	42251	189644
911	42296	189592
912	42338	189526
913	42382	189468
914	42423	189399
915	42462	189318
916	42501	189242
917	42544	189177
918	42592	189140
919	42638	189090
